id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation
E87,history,The Sykes-Picot Agreement primarily affected which region?,Balkans,East Asia,Middle East,South America,C,"The Sykes-Picot Agreement, a 1916 secret treaty between Britain and France, divided Ottoman territories in the Middle East into spheres of influence, reshaping the region."
E88,history,Which ancient battle marked the defeat of Marc Antony and Cleopatra by Octavian?,Battle of Zama,Battle of Actium,Battle of Pharsalus,Battle of Cannae,B,"The Battle of Actium in 31 BCE resulted in the defeat of Marc Antony and Cleopatra's forces by Octavian (later Emperor Augustus), leading to the end of the Roman Republic and the beginning of the Roman Empire."
E89,history,The Spanish Civil War took place between which years?,1914-1918,1929-1933,1936-1939,1945-1948,C,"The Spanish Civil War was fought from 1936 to 1939 between the Republicans (loyal to the democratic Second Spanish Republic) and the Nationalists (led by General Francisco Franco)."
E90,history,Which European country maintained neutrality during both World War I and World War II?,Switzerland,Sweden,Portugal,Denmark,A,"Switzerland maintained armed neutrality during both World War I and World War II, although it was surrounded by combatant nations."
E91,history,The Cultural Revolution in China was launched by which leader?,Mao Zedong,Deng Xiaoping,Chiang Kai-shek,Sun Yat-sen,A,"The Cultural Revolution (1966-1976) was launched by Chairman Mao Zedong to reassert his control over the Chinese government and eliminate his political opponents."
E92,history,The Golden Age of Piracy primarily occurred during which century?,16th century,17th century,18th century,19th century,C,"The Golden Age of Piracy was approximately from the 1650s to the 1730s, with its peak between 1690 and 1725, during the early 18th century."
E93,history,Which country was NOT involved in the Triple Alliance during World War I?,Germany,Austria-Hungary,Italy,Ottoman Empire,D,"The Triple Alliance before World War I consisted of Germany, Austria-Hungary, and Italy. The Ottoman Empire was not part of this alliance but joined the Central Powers during the war."
E94,history,The Dreyfus Affair was a political scandal in which country?,Germany,United Kingdom,France,Russia,C,"The Dreyfus Affair was a political scandal that divided France from 1894 to 1906, involving the wrongful conviction of Jewish French Army officer Alfred Dreyfus for treason."
E95,history,Which civilization is known for constructing the ancient city of Angkor Wat?,Thai,Khmer,Vietnamese,Burmese,B,"Angkor Wat was built in the early 12th century by the Khmer Empire as a Hindu temple dedicated to Vishnu, later becoming a Buddhist temple complex."
E96,history,The Reconquista was the recapturing of the Iberian Peninsula from which group?,Romans,Visigoths,Moors,Franks,C,"The Reconquista was the centuries-long process (711-1492) of Christian kingdoms recapturing the Iberian Peninsula from Muslim Moorish rule."
E97,history,The Meiji Restoration began in which year?,1848,1868,1888,1905,B,"The Meiji Restoration began in 1868, restoring practical imperial rule to Japan under Emperor Meiji and initiating a period of rapid modernization and Westernization."
E98,history,Which U.S. President was in office during the Bay of Pigs Invasion?,Dwight D. Eisenhower,John F. Kennedy,Lyndon B. Johnson,Richard Nixon,B,"The Bay of Pigs Invasion, a failed attempt by CIA-sponsored Cuban exiles to overthrow Fidel Castro's government, occurred in April 1961 during John F. Kennedy's presidency."
E99,history,The Battle of Guadalcanal was fought during which conflict?,World War I,Korean War,Vietnam War,World War II,D,"The Battle of Guadalcanal was a major campaign of World War II fought between August 1942 and February 1943 in the Pacific Theater, resulting in an Allied victory."
E100,history,The Peloponnesian War was primarily fought between which ancient Greek city-states?,Athens and Sparta,Athens and Thebes,Corinth and Argos,Sparta and Corinth,A,"The Peloponnesian War (431-404 BCE) was fought between Athens and Sparta, the two most powerful city-states in ancient Greece, resulting in Sparta's victory."
F1,english,Which literary device is characterized by the use of exaggerated statements that are not meant to be taken literally?,Simile,Hyperbole,Metaphor,Personification,B,"Hyperbole is a figure of speech that uses extreme exaggeration for emphasis or effect, not meant to be taken literally. Examples include phrases like 'I'm so hungry I could eat a horse' or 'I've told you a million times.'"
F2,english,What is the correct term for a word that sounds like what it describes?,Onomatopoeia,Alliteration,Consonance,Euphemism,A,"Onomatopoeia refers to words that phonetically imitate or suggest the sound they describe, such as 'buzz,' 'hiss,' 'splash,' or 'meow.'"
F3,english,Which of the following is an example of a gerund?,Walking to school,She walks to school,To walk to school,She walked to school,A,"A gerund is a verbal noun ending in '-ing.' In the phrase 'Walking to school,' the word 'walking' functions as a noun, making it a gerund."
F4,english,In the sentence "The cat sat on the mat," what is the part of speech of the word "on"?,Verb,Conjunction,Preposition,Adverb,C,"'On' is a preposition in this sentence because it establishes the relationship between 'cat' and 'mat,' indicating the cat's position relative to the mat."
F5,english,Which of the following sentences contains a split infinitive?,To boldly go where no one has gone before,She quickly ran to the store,He always eats dinner at 6 PM,They completely finished the project yesterday,A,"A split infinitive occurs when a word (usually an adverb) is placed between 'to' and the verb in an infinitive phrase. In 'to boldly go,' the adverb 'boldly' splits the infinitive 'to go.'"
F6,english,What is the correct term for a word that has the opposite meaning of another word?,Synonym,Homonym,Antonym,Homophone,C,"An antonym is a word that means the opposite of another word. Examples include pairs like 'hot/cold,' 'light/dark,' and 'happy/sad.'"
F7,english,Which of these sentences demonstrates the correct use of the semicolon?,I have a big test tomorrow; I can't go out tonight,I have a big test tomorrow, I can't go out tonight,I have a big test tomorrow: I can't go out tonight,I have a big test tomorrow and I can't go out tonight,A,"A semicolon is correctly used to join two independent clauses (complete sentences) that are closely related in meaning, without using a conjunction."
F8,english,What term describes a word that is spelled the same forwards and backwards?,Palindrome,Anagram,Homograph,Acronym,A,"A palindrome is a word, phrase, number, or sequence of characters that reads the same backward as forward, such as 'madam,' 'level,' or 'racecar.'"
F9,english,Which literary movement emphasized emotion, individualism, and the glorification of nature?,Modernism,Romanticism,Realism,Naturalism,B,"Romanticism was a literary, artistic, and intellectual movement of the late 18th and early 19th centuries that emphasized emotion, individualism, and the glorification of nature and the past, particularly medieval history."
F10,english,In the sentence "She sang beautifully," what part of speech is "beautifully"?,Adjective,Adverb,Verb,Noun,B,"'Beautifully' is an adverb because it modifies the verb 'sang' by describing how the action was performed. Adverbs often end in '-ly' and answer questions like how, when, where, or to what extent."
F11,english,Which of the following is an example of an oxymoron?,Bitter sweet,Hot and cold,Slowly running,Quietly shouting,D,"An oxymoron is a figure of speech that combines contradictory terms for rhetorical effect. 'Quietly shouting' contains opposing ideas—being quiet and shouting are contradictory actions."
F12,english,What is the term for a word that is derived from a person's name?,Eponym,Pseudonym,Antonym,Homonym,A,"An eponym is a word derived from the name of a real or fictional person. Examples include 'sandwich' (from the Earl of Sandwich) and 'boycott' (from Charles Boycott)."
F13,english,Which sentence demonstrates the correct use of the subjunctive mood?,If I was rich, I would buy a mansion,If I were rich, I would buy a mansion,If I am rich, I would buy a mansion,If I will be rich, I would buy a mansion,B,"The subjunctive mood is used to express hypothetical or contrary-to-fact situations. 'If I were rich' (not 'was') is the correct subjunctive form for a contrary-to-fact condition."
F14,english,What literary technique involves giving human qualities to non-human objects or ideas?,Alliteration,Personification,Imagery,Hyperbole,B,"Personification is a figure of speech that attributes human characteristics or actions to non-human entities, objects, or abstract concepts. For example: 'The wind whispered through the trees.'"
